ibge7;Município;Proporção da população atendida pela Estratégia de Saúde da Família;Cobertura vacinal contra poliomielite em menores de 1 ano;Cobertura vacinal de tríplice viral da população de 1 ano de idade;Cobertura vacinal de febre amarela em menores de 1 ano
3115607;Cedro do Abaeté;100;100;50;50
3115706;Central de Minas;100;92,41;83,54;70,89
3115805;Centralina;75,03;93,14;46,08;74,51
3115904;Chácara;100;48,72;84,62;23,08
3116001;Chalé;100;107,59;112,66;103,8
3116100;Chapada do Norte;100;109,35;112,15;86,92
3116159;Chapada Gaúcha;100;119,66;138,2;110,11
3116209;Chiador;100;8,33;12,5;8,33
3116308;Cipotânea;100;109,8;113,73;123,53
3116407;Claraval;100;436,36;409,09;427,27
3116506;Claro dos Poções;100;98,7;96,1;83,12
3116605;Cláudio;69,74;111,17;108,72;101,91
3116704;Coimbra;100;81,33;98,67;73,33
3116803;Coluna;97,56;80,91;85,45;75,45
3116902;Comendador Gomes;100;103,7;248,15;122,22
3117009;Comercinho;100;103,33;111,67;113,33
3117108;Conceição da Aparecida;100;117,54;122,81;113,16
3115201;Conceição da Barra de Minas;72,86;124,14;134,48;137,93
3117306;Conceição das Alagoas;91,28;83,24;113,41;77,65
3117207;Conceição das Pedras;100;109,68;112,9;103,23
3117405;Conceição de Ipanema;100;118,18;103,03;87,88
3117504;Conceição do Mato Dentro;100;90,94;97,99;92,95
3117603;Conceição do Pará;100;107,27;132,73;103,64
3117702;Conceição do Rio Verde;86,14;109,88;104,94;101,85
3117801;Conceição dos Ouros;97,89;107,32;107,32;94,31
3117836;Cônego Marinho;100;97,75;93,26;70,79
3117876;Confins;100;112,77;105,32;96,81
3117900;Congonhal;100;84,82;73,21;66,96
3118007;Congonhas;100;95,06;96,1;92,86
3118106;Congonhas do Norte;100;80,6;91,04;77,61
3118205;Conquista;82,51;96,49;92,98;96,49
3118304;Conselheiro Lafaiete;72,32;92,16;100,17;83,67
3118403;Conselheiro Pena;100;82,97;92,39;87,68
3118502;Consolação;100;37,04;48,15;29,63
3118601;Contagem;59,83;80,87;95,06;80,01
3118700;Coqueiral;100;111;120;108
3118809;Coração de Jesus;100;96,93;121,46;99,23
3118908;Cordisburgo;96,94;64,71;76,47;78,43
3119005;Cordislândia;100;92,31;107,69;97,44
3119104;Corinto;88,67;80,33;72,79;61,31
3119203;Coroaci;100;131,15;154,1;126,23
3119302;Coromandel;67,85;91,36;88,89;87,65
3119401;Coronel Fabriciano;55,78;87,64;93,75;80,93
3119500;Coronel Murta;100;107,77;106,8;92,23
3119609;Coronel Pacheco;100;116,67;100;76,67
3119708;Coronel Xavier Chaves;83,55;96,3;66,67;55,56
3119807;Córrego Danta;100;120;135;80
3119906;Córrego do Bom Jesus;100;100;97,3;75,68
3119955;Córrego Fundo;90,1;95,16;133,87;124,19
3120003;Córrego Novo;100;100;131,58;94,74
3120102;Couto de Magalhães de Minas;100;109,09;134,55;80
3120151;Crisólita;100;61,9;76,19;79,76
3120201;Cristais;100;130,65;112,9;109,68
3120300;Cristália;100;113,43;100;101,49
3120409;Cristiano Otoni;100;108,77;136,84;89,47
3120508;Cristina;100;116,16;114,14;109,09
3120607;Crucilândia;100;118,18;113,64;120,45
3120706;Cruzeiro da Fortaleza;100;115,79;122,81;140,35
3120805;Cruzília;100;78,26;81,74;74,78
3120839;Cuparaque;100;63,33;86,67;68,33
3120870;Curral de Dentro;100;157,32;159,76;146,34
3120904;Curvelo;60,98;92,54;106,3;90,34
3121001;Datas;100;94,51;84,62;80,22
3121100;Delfim Moreira;100;83,33;80,77;69,23
3121209;Delfinópolis;100;142,65;132,35;108,82
3121258;Delta;80,1;122,22;124,6;105,56
3121308;Descoberto;100;115,69;129,41;117,65
3121407;Desterro de Entre Rios;79,26;162,9;150;135,48
3121506;Desterro do Melo;99,69;122,58;106,45;100
3121605;Diamantina;97,99;66,11;59,55;60,25
3121704;Diogo de Vasconcelos;100;106,82;109,09;104,55
3121803;Dionísio;100;98,33;120;115
3121902;Divinésia;100;163,64;157,58;166,67
3122009;Divino;86,35;48,03;50,9;52,69
3122108;Divino das Laranjeiras;100;109,62;126,92;113,46
3122207;Divinolândia de Minas;100;127,63;118,42;115,79
3122306;Divinópolis;43,29;93,27;105,54;84,22
3122355;Divisa Alegre;100;90,11;110,99;97,8
3122405;Divisa Nova;100;110,13;117,72;125,32
3122454;Divisópolis;100;125;115,28;102,78
3122470;Dom Bosco;100;141,18;147,06;150
3122504;Dom Cavati;79,73;101,59;117,46;103,17
3122603;Dom Joaquim;100;108,33;105;100
3122702;Dom Silvério;100;129,27;131,71;107,32
3122801;Dom Viçoso;95,93;50;122,22;77,78
3122900;Dona Euzébia;100;106,33;100;89,87
3123007;Dores de Campos;67,49;105,15;109,28;101,03
3123106;Dores de Guanhães;100;163,27;138,78;97,96
3123205;Dores do Indaiá;98,5;92,44;95,8;82,35
3123304;Dores do Turvo;100;121,28;104,26;91,49
3123403;Doresópolis;100;122,22;116,67;133,33
3123502;Douradoquara;100;122,22;88,89;44,44
3123528;Durandé;100;69,23;70,19;56,73
3123601;Elói Mendes;68,02;84,16;75,37;73,9
3123700;Engenheiro Caldas;100;105,83;101,67;88,33
3123809;Engenheiro Navarro;100;97,5;98,75;100
3123858;Entre Folhas;100;119,74;121,05;107,89
3123908;Entre Rios de Minas;48,6;91,18;99,41;82,35
3124005;Ervália;100;104,95;95,5;88,74
3124104;Esmeraldas;72,73;89,44;96,7;88,12
3124203;Espera Feliz;88,12;110,94;112,81;109,69
3124302;Espinosa;100;97,85;121,51;99,46
3124401;Espírito Santo do Dourado;61,04;64,86;60,81;44,59
3124500;Estiva;42,93;100;107,77;86,41
3124609;Estrela D' Alva;100;140,91;86,36;122,73
3124708;Estrela do Indaiá;100;103,57;75;82,14
3124807;Estrela do Sul;78,89;91,43;88,57;72,86
3124906;Eugenópolis;100;47,22;54,63;45,37
3125002;Ewbank da Câmara;100;100;106,9;110,34
3125101;Extrema;100;97,2;115,02;95,88
3125200;Fama;100;69,23;73,08;42,31
3125309;Faria Lemos;71,41;93,33;46,67;71,11
3125408;Felício dos Santos;100;79,01;96,3;70,37
3125606;Felisburgo;100;81,91;93,62;87,23
3125705;Felixlândia;100;82,24;90,13;82,24
3125804;Fernandes Tourinho;91,24;93,75;103,13;90,63
3125903;Ferros;100;49,47;54,74;35,79
3125952;Fervedouro;100;112,03;135,34;116,54
3126000;Florestal;91,6;144,29;111,43;125,71
3126109;Formiga;74,18;91,9;101,37;95,47
3126208;Formoso;100;97,73;119,32;100
3126307;Fortaleza de Minas;64,8;86,84;110,53;78,95
3126406;Fortuna de Minas;96,9;106,25;121,88;109,38
3126505;Francisco Badaró;100;86,54;111,54;103,85
3126604;Francisco Dumont;100;120;110,91;112,73
3126752;Franciscópolis;100;98,41;90,48;80,95
3126703;Francisco Sá;100;83,12;86,08;68,78
3126802;Frei Gaspar;100;88,41;97,1;79,71
3126901;Frei Inocêncio;100;74,36;86,32;62,39
3126950;Frei Lagonegro;82,45;143,75;150;106,25
3127008;Fronteira;74,63;75,84;68,46;69,8
3127057;Fronteira dos Vales;100;87,5;75;75
3127073;Fruta de Leite;100;1,89;0;1,89
3127107;Frutal;43,6;90,83;89,03;87,36
3127206;Funilândia;100;97,96;106,12;110,2
3127305;Galiléia;100;109,64;95,18;89,16
3127339;Gameleiras;100;110,17;118,64;108,47
3127354;Glaucilândia;100;58,33;70,83;87,5
